TP9,AF7,AF8,TP10,Right AUX,Color
-70.312,35.645,36.621,-12.207,9.766,0
102.539,41.992,34.18,33.691,35.645,0
135.254,33.203,38.574,56.152,78.125,0
46.387,31.25,34.668,26.855,43.945,0
-86.426,29.785,34.668,-20.508,58.105,0
27.344,36.133,31.738,23.926,25.391,0
-69.824,37.109,35.645,-5.859,42.969,0
-85.449,36.133,34.668,-17.578,24.414,0
15.137,34.18,33.203,11.23,-43.945,0
-25.391,31.738,36.133,10.254,45.898,0
104.98,28.32,32.715,51.27,23.926,0
62.988,30.762,34.668,32.715,41.016,0
154.785,31.738,35.645,60.547,53.711,0
126.953,29.297,26.367,46.387,22.461,0
-50.293,31.25,34.668,-13.672,36.133,0
101.074,30.762,35.156,36.133,21.973,0
-68.359,33.203,34.18,-12.207,28.32,0
-30.273,30.762,35.156,-3.418,40.039,0
-47.852,36.133,34.18,8.301,-5.859,0
25.879,33.203,32.227,36.133,89.844,0
-87.402,33.691,31.25,-20.508,10.254,0
-37.109,34.668,34.668,8.301,41.504,0
7.812,31.738,37.109,29.785,88.379,0
-65.918,30.273,35.156,-2.93,37.109,0
152.832,32.715,34.18,70.312,85.449,0
78.125,32.715,34.668,46.387,32.715,0
-68.848,35.645,35.156,-8.789,40.039,0
11.719,31.25,38.574,25.391,-1.465,0
159.18,31.738,34.18,62.012,20.508,0
-100.586,30.762,36.621,-9.277,2.441,0
-51.758,33.203,33.203,-16.602,23.438,0
-27.344,33.691,36.621,-0.977,-29.297,0
12.695,31.25,36.621,24.414,-35.645,0
-50.293,34.18,35.645,-5.859,10.254,0
-8.301,30.762,34.668,10.254,46.875,0
-75.684,30.762,35.156,-20.508,-25.879,0
149.902,28.809,32.715,63.477,47.852,0
145.02,33.203,29.297,50.293,34.668,0
-53.223,33.691,35.645,5.371,45.898,0
33.691,33.691,31.25,26.855,-37.109,0
99.609,29.785,35.645,50.781,17.578,0
-63.965,33.691,33.203,3.418,9.766,0
