timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550062.633,63.477,29.785,33.691,26.367,43.945
1586550062.636,165.527,31.738,29.785,66.895,4.395
1586550062.640,2.441,34.668,31.250,15.625,3.418
1586550062.644,-89.844,33.203,32.715,-20.020,45.410
1586550062.648,32.227,31.738,34.668,27.344,35.645
1586550062.652,169.434,32.227,34.668,76.660,45.898
1586550062.656,55.664,32.227,32.227,31.738,53.711
1586550062.660,-83.008,34.180,35.645,-20.996,-7.812
1586550062.664,-23.926,31.738,36.133,-7.812,-39.062
1586550062.668,136.719,27.344,32.227,50.293,62.988
1586550062.672,105.957,34.668,31.738,57.617,36.621
1586550062.676,-67.383,37.598,29.785,-1.953,-38.574
1586550062.679,-55.664,36.621,29.785,-18.066,-18.066
1586550062.683,104.004,37.598,29.297,29.785,57.617
1586550062.687,148.438,34.668,29.785,54.199,76.660
1586550062.691,-35.156,31.738,35.645,9.766,36.133
1586550062.695,-83.984,34.668,32.715,-10.254,10.254
1586550062.699,49.805,36.621,29.785,18.066,-15.625
1586550062.703,163.574,37.598,30.762,58.105,50.781
1586550062.707,27.344,37.598,29.297,21.973,114.746
1586550062.711,-83.984,37.109,29.785,-13.672,57.617
1586550062.715,11.719,36.133,30.273,15.137,11.230
1586550062.719,161.133,33.691,27.344,73.242,20.508
1586550062.722,65.430,32.715,26.855,49.805,29.297
1586550062.726,-86.914,34.180,28.320,-18.555,5.859
1586550062.730,-30.762,37.109,30.273,-5.859,3.418
1586550062.734,123.535,34.668,30.273,54.199,51.758
1586550062.738,109.375,31.738,30.273,55.664,27.832
1586550062.742,-74.219,32.227,31.738,-10.742,-0.977
1586550062.746,-87.891,33.691,29.785,-15.137,38.086
1586550062.750,68.848,33.691,30.273,40.527,30.762
1586550062.754,143.555,34.180,31.250,56.152,0.488
1586550062.758,-21.973,33.203,32.227,1.465,23.926
1586550062.761,-85.449,32.715,34.180,-25.391,-5.371
1586550062.765,42.480,33.691,32.227,20.020,-29.297
1586550062.769,155.762,34.668,28.809,71.289,12.695
1586550062.773,28.320,35.645,32.227,19.043,21.973
1586550062.777,-85.449,35.156,34.668,-28.320,16.602
1586550062.781,-2.441,33.691,33.691,13.672,54.688
1586550062.785,149.414,32.227,36.133,63.477,82.520
1586550062.789,90.332,34.668,34.180,40.527,62.988
1586550062.793,-75.195,37.109,31.738,-13.184,0.488
1586550062.797,-43.457,36.621,35.156,-2.930,-7.324
1586550062.801,128.418,37.109,33.691,54.199,38.086
1586550062.804,137.207,38.574,32.715,59.570,62.012
