timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550467.820,1.953,20.996,23.926,21.973,8.789
1586550467.824,-20.996,19.531,20.020,5.371,2.441
1586550467.828,52.246,20.020,17.578,25.391,56.152
1586550467.832,114.258,20.996,20.020,49.805,78.613
1586550467.836,34.180,23.438,24.902,19.043,75.195
1586550467.840,-18.066,21.484,22.949,4.395,75.684
1586550467.844,33.203,19.043,18.555,27.344,58.594
1586550467.847,107.422,21.484,19.531,57.617,51.758
1586550467.851,46.875,21.484,19.531,38.086,45.410
1586550467.855,-47.363,19.531,20.508,5.859,6.348
1586550467.859,-5.371,20.508,20.508,20.996,28.320
1586550467.863,87.402,20.996,21.973,51.270,78.613
1586550467.867,77.637,24.414,22.461,45.898,84.473
1586550467.871,-13.672,26.855,22.461,9.277,53.223
1586550467.875,-11.719,23.438,20.996,12.695,74.707
1586550467.879,63.477,22.949,18.066,45.410,-2.930
1586550467.883,83.984,24.902,21.484,57.617,7.324
1586550467.887,4.395,25.391,22.461,22.461,51.270
1586550467.890,-10.742,24.902,21.973,12.207,6.348
1586550467.894,58.594,22.461,22.461,34.668,33.691
1586550467.898,102.539,22.949,22.461,49.805,51.758
1586550467.902,0.488,22.949,22.461,20.020,37.598
1586550467.906,-54.199,22.949,22.461,-6.836,66.895
1586550467.910,10.742,23.438,22.949,13.184,49.316
1586550467.914,88.867,25.391,22.949,49.316,61.523
1586550467.918,55.664,28.809,22.949,36.621,49.316
1586550467.922,-31.250,26.367,23.438,-2.441,2.930
1586550467.926,-7.812,21.484,21.484,-1.465,3.906
1586550467.929,81.543,20.996,19.531,34.668,42.969
1586550467.933,71.777,21.973,21.484,41.992,35.645
1586550467.937,-24.414,24.902,23.438,5.371,-11.719
1586550467.941,-13.672,26.367,27.344,10.254,-4.395
1586550467.945,62.012,25.391,28.809,43.457,-3.906
1586550467.949,91.797,26.367,28.809,51.270,42.969
1586550467.953,8.789,27.344,27.344,11.230,26.367
1586550467.957,-21.484,26.855,23.926,-7.812,-7.812
1586550467.961,45.898,29.785,25.879,20.020,34.668
1586550467.965,97.656,29.297,23.926,47.852,67.383
1586550467.969,24.902,26.367,22.949,33.691,66.406
1586550467.972,-42.480,24.902,25.391,10.254,71.289
1586550467.976,5.859,26.855,23.926,19.043,72.754
1586550467.980,93.750,27.832,23.926,46.875,39.551
1586550467.984,56.152,25.879,24.902,35.156,-4.395
1586550467.988,-34.668,26.855,21.973,7.324,-23.926
1586550467.992,-11.230,26.855,20.508,7.812,-23.926
1586550467.996,82.520,28.320,20.508,29.297,-7.324
1586550468.000,95.703,28.809,19.043,35.645,-7.324
1586550468.004,-13.672,26.855,19.531,-3.906,-30.273
1586550468.008,-31.250,27.344,20.508,-7.324,-23.438
1586550468.012,48.340,27.832,18.066,30.273,4.883
1586550468.015,86.914,28.320,19.531,49.805,43.945
1586550468.019,8.789,29.785,24.414,17.090,47.852
1586550468.023,-21.973,29.297,22.949,-1.465,32.715
1586550468.027,40.527,28.809,20.508,26.367,-12.695
1586550468.031,116.211,30.762,20.020,49.805,-29.785
1586550468.035,46.875,30.762,23.438,26.855,26.855
1586550468.039,-46.875,30.273,23.438,6.348,25.879
1586550468.043,-13.184,28.320,22.461,13.184,12.695
1586550468.047,66.406,23.926,22.949,45.898,24.414
1586550468.051,48.828,23.438,23.438,55.176,62.012
1586550468.054,-43.457,23.926,25.879,28.809,40.527
1586550468.058,-24.902,26.367,25.391,20.508,30.762
1586550468.062,77.637,30.273,25.391,37.109,40.527
1586550468.066,103.027,30.273,25.879,31.738,-13.672
1586550468.070,-1.953,30.273,23.438,-11.230,-38.086
1586550468.074,-28.809,30.273,21.973,-12.207,-6.348
1586550468.078,45.898,31.738,21.973,12.695,56.152
1586550468.082,111.816,31.250,22.461,31.250,23.438
1586550468.086,43.457,31.250,23.438,10.254,-18.555
1586550468.090,-6.836,33.691,20.020,-14.160,-12.207
1586550468.094,45.898,32.715,20.508,7.812,-9.766
1586550468.097,90.820,28.320,23.438,46.875,-23.438
1586550468.101,30.762,28.809,20.996,37.109,28.809
1586550468.105,-36.133,29.785,18.066,7.812,50.293
1586550468.109,-4.883,27.344,22.949,17.090,3.418
1586550468.113,77.148,23.438,26.367,45.410,-1.953
1586550468.117,71.289,23.438,23.438,44.434,33.691
1586550468.121,-25.879,23.438,21.973,4.395,16.113
1586550468.125,-28.320,25.391,20.996,-7.324,0.977
1586550468.129,68.848,26.855,18.066,28.320,29.785
1586550468.133,107.910,26.855,19.531,44.922,44.922
1586550468.137,0.488,28.320,20.508,14.160,-9.766
1586550468.140,-19.531,25.879,20.020,3.418,33.691
1586550468.144,56.641,24.902,20.508,22.949,26.367
1586550468.148,103.516,25.879,20.020,58.594,-20.020
1586550468.152,30.273,28.809,21.973,44.922,-2.930
1586550468.156,-18.066,29.297,22.461,10.742,-4.395
1586550468.160,31.738,31.738,20.020,21.973,55.664
1586550468.164,96.680,34.180,22.461,64.453,50.781
1586550468.168,46.387,31.250,26.855,64.453,-8.789
1586550468.172,-39.551,31.250,24.414,16.113,0.977
1586550468.176,0.977,32.715,20.996,11.719,14.648
1586550468.179,87.402,28.320,22.949,41.016,-3.418
1586550468.183,86.426,30.762,20.996,39.062,20.508
1586550468.187,-9.766,34.180,20.508,2.441,60.547
1586550468.191,-2.930,29.297,23.926,-6.836,86.914
1586550468.195,80.566,29.297,22.949,32.227,76.172
1586550468.199,111.328,33.691,23.926,51.270,44.922
1586550468.203,18.066,33.691,24.902,18.555,34.180
1586550468.207,-44.434,29.297,21.484,-2.441,18.066
1586550468.211,16.113,27.832,20.020,17.090,57.617
1586550468.215,95.703,30.762,20.508,45.898,100.098
1586550468.219,27.344,29.297,23.926,30.273,40.039
1586550468.222,-42.480,28.809,22.949,0.000,-13.672
1586550468.226,11.719,29.297,17.578,2.441,3.418
1586550468.230,104.004,27.832,16.113,37.109,34.180
1586550468.234,69.824,22.949,21.484,26.367,28.320
1586550468.238,-29.785,20.508,25.391,-12.695,72.266
1586550468.242,-9.277,22.949,22.949,-10.742,70.801
1586550468.246,57.129,21.973,24.414,29.297,36.621
1586550468.250,64.453,23.438,24.902,48.828,12.695
1586550468.254,-31.250,22.461,25.879,12.207,-50.781
1586550468.258,-35.156,21.484,26.367,16.602,29.297
1586550468.262,48.340,23.438,24.902,60.547,78.125
1586550468.265,88.867,21.973,24.414,75.684,53.223
1586550468.269,14.648,19.531,25.391,32.227,34.668
1586550468.273,-33.691,20.996,24.902,-21.484,69.824
1586550468.277,11.719,23.926,24.902,-4.395,122.559
1586550468.281,81.543,25.879,24.414,41.504,96.680
1586550468.285,25.879,28.809,22.461,33.691,22.461
1586550468.289,-48.340,32.227,22.949,7.324,32.715
1586550468.293,-11.230,28.809,24.902,11.230,67.383
1586550468.297,80.566,29.297,21.973,33.691,71.289
1586550468.301,76.660,31.250,21.484,30.762,73.242
1586550468.304,-13.184,29.785,25.391,0.488,20.996
1586550468.308,-15.137,29.297,26.367,0.977,7.324
1586550468.312,50.293,29.297,25.391,40.039,27.832
1586550468.316,82.520,28.809,21.973,66.406,-38.574
1586550468.320,-11.230,27.832,21.973,46.387,-44.434
1586550468.324,-33.691,27.832,27.344,31.250,15.625
1586550468.328,47.852,25.879,27.344,40.527,41.992
1586550468.332,116.699,28.320,26.367,52.246,37.109
1586550468.336,38.086,29.785,25.879,11.719,38.086
1586550468.340,-18.066,31.250,24.902,-11.719,42.480
1586550468.344,30.273,30.762,24.414,17.578,23.438
1586550468.347,95.215,29.785,24.902,45.410,40.527
1586550468.351,56.152,33.203,25.879,38.086,-2.930
1586550468.355,-20.996,32.227,27.344,0.000,-14.160
1586550468.359,14.648,32.715,26.855,3.418,23.438
1586550468.363,86.914,28.809,24.414,40.527,26.855
1586550468.367,76.660,26.855,23.926,39.062,28.320
1586550468.371,-17.090,28.320,22.949,0.488,-7.812
1586550468.375,-17.578,28.320,19.531,0.000,4.395
1586550468.379,65.430,29.785,22.461,40.039,13.672
1586550468.383,97.656,28.320,22.461,58.594,17.578
1586550468.387,6.348,27.344,20.020,25.879,19.043
1586550468.390,-23.438,29.785,18.555,12.207,21.973
1586550468.394,43.945,29.785,18.555,26.367,15.625
1586550468.398,116.699,30.273,21.484,52.734,4.395
1586550468.402,47.852,32.227,20.996,39.062,12.695
1586550468.406,-23.926,29.785,20.996,10.742,20.020
1586550468.410,25.391,29.785,19.043,11.719,-12.207
