timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550590.726,80.078,31.738,33.691,59.570,-0.977
1586550590.730,-30.762,31.738,31.738,11.230,46.875
1586550590.734,-25.391,29.297,31.738,7.324,38.574
1586550590.738,64.941,29.297,31.250,49.805,43.457
1586550590.742,95.215,31.738,28.320,67.383,20.020
1586550590.746,4.395,35.156,25.879,30.762,10.254
1586550590.750,-13.672,33.203,29.785,7.812,30.762
1586550590.754,50.781,31.250,32.715,29.297,35.645
1586550590.758,102.539,29.785,34.180,58.105,13.184
1586550590.762,24.414,30.762,34.668,32.227,25.879
1586550590.765,-30.273,35.156,33.203,0.488,6.836
1586550590.769,36.621,34.180,30.762,17.090,-41.992
1586550590.773,117.188,33.203,28.809,64.453,1.465
1586550590.777,67.383,34.180,26.367,60.059,22.461
1586550590.781,-27.344,32.715,24.414,5.859,13.184
1586550590.785,3.418,31.250,27.832,5.859,83.984
1586550590.789,90.820,34.668,28.320,46.875,73.730
1586550590.793,85.449,33.691,27.344,47.852,7.812
1586550590.797,-12.695,29.785,29.297,4.395,35.156
1586550590.801,-2.441,30.762,26.367,4.395,44.922
1586550590.804,76.172,30.273,27.344,46.387,28.320
1586550590.808,100.586,28.809,27.832,68.359,15.625
1586550590.812,-2.930,30.762,28.320,30.762,-12.207
1586550590.816,-38.086,33.203,28.809,-0.977,18.066
1586550590.820,39.551,32.227,26.367,20.508,50.781
1586550590.824,109.375,33.691,26.855,54.199,32.715
1586550590.828,31.738,35.645,26.367,30.273,25.879
1586550590.832,-42.480,30.762,23.438,-7.812,91.309
1586550590.836,12.207,32.227,25.391,8.789,38.086
1586550590.840,94.727,32.715,29.297,51.758,-0.488
1586550590.844,59.570,33.203,31.250,48.340,83.496
1586550590.847,-27.832,39.551,29.785,12.695,60.059
1586550590.851,4.395,33.691,26.855,16.602,28.809
1586550590.855,96.191,25.879,28.320,54.199,8.789
1586550590.859,104.980,31.250,28.809,61.035,-31.250
1586550590.863,0.488,34.180,31.738,20.996,-37.109
1586550590.867,-5.371,31.738,32.715,11.230,-40.527
1586550590.871,67.383,30.762,28.809,41.504,-7.324
1586550590.875,103.027,33.203,30.273,62.988,31.738
1586550590.879,17.090,33.691,32.227,28.809,42.480
1586550590.883,-23.926,34.668,29.785,3.418,15.625
1586550590.887,39.551,37.598,32.227,21.484,6.348
1586550590.890,108.887,40.039,36.621,59.082,37.109
1586550590.894,34.180,36.133,36.621,41.016,58.594
1586550590.898,-48.340,30.762,32.227,-1.465,41.992
1586550590.902,2.930,28.320,33.691,6.836,48.828
1586550590.906,91.797,25.391,34.668,49.316,42.480
1586550590.910,68.848,29.297,33.691,52.246,44.922
1586550590.914,-28.320,32.715,34.180,7.324,88.379
1586550590.918,-13.672,29.785,33.203,-0.488,44.922
1586550590.922,67.871,28.809,26.855,31.250,-24.414
1586550590.926,91.309,27.344,27.832,57.129,6.348
1586550590.929,-11.719,29.297,32.227,22.949,62.500
1586550590.933,-26.855,34.668,26.367,-2.930,68.359
1586550590.937,53.223,34.180,25.391,23.438,55.664
1586550590.941,101.074,30.762,26.855,53.711,44.922
1586550590.945,18.066,30.273,27.832,27.832,1.953
1586550590.949,-39.551,34.180,28.320,-1.953,-12.207
1586550590.953,21.973,37.598,29.297,18.555,31.738
1586550590.957,100.098,37.109,32.227,58.105,83.008
1586550590.961,40.527,34.180,31.250,40.039,90.820
1586550590.965,-38.086,35.645,31.250,5.371,0.488
1586550590.969,7.324,34.668,26.855,8.301,-26.367
1586550590.972,91.797,35.645,25.879,40.527,17.578
1586550590.976,86.426,37.109,28.809,54.688,-1.465
1586550590.980,-16.602,33.203,25.391,10.254,7.812
1586550590.984,-18.066,36.133,23.926,-1.465,59.082
1586550590.988,67.871,36.133,28.320,38.574,47.363
1586550590.992,99.609,35.645,29.297,50.293,67.383
1586550590.996,10.254,37.598,28.320,5.371,59.082
1586550591.000,-13.184,36.621,28.809,-5.371,32.715
1586550591.004,46.387,32.227,29.785,28.809,38.574
1586550591.008,98.633,33.203,28.320,62.500,50.781
1586550591.012,21.973,36.133,29.785,39.551,27.832
1586550591.015,-36.133,32.227,31.738,14.160,47.852
1586550591.019,27.832,33.691,31.250,24.414,46.875
1586550591.023,118.164,36.133,29.785,52.246,28.320
1586550591.027,72.754,29.785,30.762,45.898,20.508
1586550591.031,-27.344,29.785,35.156,6.348,-5.371
1586550591.035,-0.977,38.574,33.691,5.859,-2.930
1586550591.039,83.008,39.062,34.668,46.875,-6.348
1586550591.043,85.449,39.062,38.086,66.406,-36.621
1586550591.047,-5.859,40.039,35.645,26.855,-24.902
1586550591.051,-2.930,36.133,35.156,13.184,0.000
1586550591.054,67.871,37.109,36.133,50.293,-58.105
1586550591.058,94.727,36.133,30.762,70.312,-10.742
1586550591.062,3.418,30.762,27.344,23.926,45.898
1586550591.066,-27.832,29.297,25.391,-6.348,35.156
