timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550348.758,-54.199,20.508,-1.953,-0.977,37.109
1586550348.762,5.859,19.531,-3.418,20.996,-0.488
1586550348.765,115.234,17.578,-2.930,67.383,18.066
1586550348.769,58.594,17.578,-4.883,53.223,17.090
1586550348.773,-64.941,19.043,-4.395,-13.184,65.430
1586550348.777,-38.086,16.602,-2.441,-23.438,75.684
1586550348.781,89.355,15.625,-1.465,16.602,21.484
1586550348.785,113.770,17.090,0.977,28.809,33.203
1586550348.789,-24.902,17.090,0.488,-15.137,29.785
1586550348.793,-53.223,16.113,2.930,-15.137,32.715
1586550348.797,57.617,17.578,4.883,31.250,70.801
1586550348.801,119.141,19.531,3.418,57.617,27.832
1586550348.805,-7.324,18.066,4.883,23.438,1.465
1586550348.808,-66.895,19.531,5.859,-6.348,-22.461
1586550348.812,18.066,26.855,-0.488,15.625,4.883
1586550348.816,114.258,30.762,0.488,62.500,37.598
1586550348.820,41.016,31.738,3.418,38.086,1.465
1586550348.824,-58.594,33.691,-1.953,-16.602,38.086
1586550348.828,-10.742,31.738,-2.441,-5.371,78.613
1586550348.832,111.816,33.203,4.395,45.898,63.477
1586550348.836,87.891,34.668,0.488,41.504,54.199
1586550348.840,-46.387,31.738,-2.441,-8.301,10.254
1586550348.844,-44.434,31.738,2.930,0.488,-35.645
1586550348.848,79.590,29.785,2.930,48.340,8.301
1586550348.851,113.770,30.273,0.000,53.223,20.996
1586550348.855,-13.184,29.785,-0.977,3.906,-8.301
1586550348.859,-58.594,27.832,-3.418,-11.719,-21.973
1586550348.863,37.109,26.367,-3.418,36.621,18.066
1586550348.867,123.047,22.949,-0.488,77.637,36.621
1586550348.871,9.766,24.414,-3.906,30.762,-0.977
1586550348.875,-78.125,23.438,-2.441,-19.531,-2.930
1586550348.879,-1.953,21.973,2.930,-9.766,17.090
1586550348.883,111.328,26.367,5.371,31.738,14.160
1586550348.887,53.223,22.949,2.441,16.602,17.578
1586550348.890,-56.641,23.926,-1.953,-20.020,7.324
1586550348.894,-29.297,30.273,3.418,-0.977,30.762
1586550348.898,92.773,30.273,2.441,44.434,73.242
1586550348.902,90.820,27.832,-3.418,50.781,71.777
1586550348.906,-47.363,26.367,2.441,-0.488,32.715
1586550348.910,-48.828,27.832,5.371,-12.207,23.438
1586550348.914,60.547,28.809,4.883,34.668,67.871
1586550348.918,98.145,29.785,3.418,65.918,58.105
1586550348.922,-20.508,28.320,-0.977,27.344,4.395
1586550348.926,-64.453,27.344,-1.465,-9.766,-21.973
1586550348.930,18.555,26.367,-0.977,17.090,33.691
1586550348.933,103.516,25.879,-2.930,56.641,71.777
1586550348.937,22.461,26.367,-1.465,34.180,66.406
1586550348.941,-51.270,27.344,-1.953,3.906,41.016
1586550348.945,9.277,25.879,-2.441,6.836,36.621
1586550348.949,115.234,24.414,-1.953,49.805,37.598
1586550348.953,77.637,25.879,-4.395,41.504,-12.695
1586550348.957,-39.551,26.367,-1.465,-3.906,3.418
1586550348.961,-34.180,26.367,-0.488,-1.953,56.641
