timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550972.289,68.359,28.320,29.297,59.082,74.219
1586550972.293,-10.742,31.738,31.738,20.996,23.926
1586550972.297,-1.465,30.762,29.297,17.090,-22.949
1586550972.301,62.988,31.738,26.855,43.945,49.316
1586550972.304,77.637,28.809,28.320,58.105,165.527
1586550972.308,0.000,25.879,28.809,25.879,46.875
1586550972.312,-16.602,26.855,30.273,6.348,-84.473
1586550972.316,41.504,28.320,29.297,27.344,-38.086
1586550972.320,85.449,28.320,28.320,53.711,82.520
1586550972.324,30.273,28.320,27.832,30.762,96.680
1586550972.328,-12.695,30.273,25.391,2.930,-8.301
1586550972.332,29.785,27.832,28.320,16.602,-26.367
1586550972.336,84.961,27.832,31.250,54.688,61.523
1586550972.340,58.594,30.273,29.785,50.293,101.562
1586550972.344,-14.648,27.344,32.227,14.648,-5.371
1586550972.347,10.742,25.879,31.738,16.113,-65.918
1586550972.351,77.148,29.785,29.785,44.434,14.160
1586550972.355,69.824,30.762,31.738,54.199,92.285
1586550972.359,-4.883,30.273,30.762,22.949,36.133
1586550972.363,-4.883,29.297,26.367,10.254,-39.062
1586550972.367,54.688,29.297,25.391,32.227,-25.391
1586550972.371,83.496,30.762,27.832,54.688,87.402
1586550972.375,11.719,28.809,26.367,26.855,41.016
1586550972.379,-13.184,28.320,27.344,10.742,-46.875
1586550972.383,41.016,28.809,27.832,30.762,-2.930
1586550972.387,92.773,27.344,23.438,50.781,84.961
1586550972.390,34.668,26.367,23.926,29.297,37.598
1586550972.394,-28.809,25.879,24.902,-3.418,-84.961
1586550972.398,9.766,25.391,26.367,11.230,-54.199
1586550972.402,77.148,23.438,30.273,42.969,22.461
1586550972.406,62.500,22.461,27.344,43.945,63.965
1586550972.410,-15.137,24.414,24.902,8.789,3.906
1586550972.414,4.395,25.879,24.902,3.418,-36.133
1586550972.418,78.125,25.879,23.926,31.250,40.039
1586550972.422,77.637,25.391,26.367,37.598,117.676
1586550972.426,-6.348,28.320,25.879,11.719,16.602
1586550972.429,-14.648,30.762,23.926,-2.441,-62.500
1586550972.433,44.434,29.785,22.949,12.207,-26.367
1586550972.437,85.938,31.250,24.902,40.527,93.262
1586550972.441,20.020,33.691,26.367,19.043,94.238
1586550972.445,-13.184,33.691,27.344,-3.906,-14.648
1586550972.449,35.156,31.250,27.832,12.207,-18.555
1586550972.453,92.773,30.762,26.855,45.898,86.426
1586550972.457,55.176,30.762,28.809,41.016,70.801
1586550972.461,-10.742,31.250,28.809,10.742,-6.836
1586550972.465,9.277,29.297,24.902,19.043,-64.941
1586550972.469,68.359,26.367,21.973,45.898,11.719
1586550972.472,66.895,30.273,26.367,45.898,117.188
1586550972.476,-7.812,30.273,30.762,16.113,6.836
1586550972.480,-2.930,27.344,30.273,10.742,-73.730
1586550972.484,60.547,27.832,29.785,42.480,-1.465
1586550972.488,80.078,29.785,28.320,62.988,108.887
1586550972.492,5.859,26.367,29.785,28.320,81.543
1586550972.496,-12.695,23.926,29.785,5.371,11.719
1586550972.500,43.945,24.902,28.809,21.484,-6.348
1586550972.504,89.355,21.973,28.809,47.852,107.422
1586550972.508,20.996,25.879,28.320,29.297,113.770
1586550972.512,-27.832,26.367,30.762,8.789,-28.809
1586550972.515,23.438,27.832,32.715,29.297,-32.227
1586550972.519,82.520,30.762,30.762,51.270,85.449
1586550972.523,52.734,29.297,28.320,41.992,58.105
1586550972.527,-9.766,29.785,28.809,12.695,-63.965
1586550972.531,15.137,27.832,28.320,16.113,-47.852
1586550972.535,76.660,29.785,28.320,49.316,55.176
1586550972.539,75.684,31.250,31.738,59.570,107.422
1586550972.543,-6.348,26.855,29.785,25.391,-0.977
1586550972.547,2.441,26.367,27.832,11.719,-47.363
1586550972.551,69.336,29.297,27.344,33.203,26.367
1586550972.554,87.891,29.297,27.832,56.152,129.883
1586550972.558,14.648,29.297,28.320,32.227,52.734
1586550972.562,-9.277,31.250,27.832,13.184,-18.066
1586550972.566,43.457,30.762,29.785,35.156,29.297
1586550972.570,95.215,32.227,29.785,60.547,115.723
1586550972.574,41.016,34.668,26.855,36.621,106.445
1586550972.578,-17.090,31.250,26.367,3.418,-14.160
