timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550743.726,-21.973,32.715,25.391,2.930,24.414
1586550743.730,-30.273,33.691,19.043,-8.301,-19.531
1586550743.734,65.430,30.273,18.066,34.180,46.387
1586550743.738,114.258,32.227,26.367,63.477,66.406
1586550743.742,7.324,32.227,27.832,26.855,42.480
1586550743.746,-38.086,31.738,23.926,3.906,-31.738
1586550743.750,37.109,33.203,24.902,24.902,0.977
1586550743.754,120.117,31.250,26.367,58.105,86.426
1586550743.758,48.340,32.715,25.879,39.062,52.734
1586550743.762,-38.086,34.180,23.438,-2.930,22.461
1586550743.765,10.742,37.109,22.949,10.254,0.488
1586550743.769,115.723,36.621,22.461,58.105,60.547
1586550743.773,80.078,33.203,22.461,50.293,54.688
1586550743.777,-32.227,33.691,19.531,3.906,-40.039
1586550743.781,-18.066,32.715,17.090,7.324,1.953
1586550743.785,77.148,26.855,22.461,48.828,12.207
1586550743.789,106.934,31.738,24.902,58.594,11.719
1586550743.793,0.488,36.133,26.855,13.672,-40.039
1586550743.797,-37.109,33.691,26.855,4.883,-27.832
1586550743.801,47.363,32.715,21.973,43.457,34.668
1586550743.804,119.141,26.855,20.996,64.941,38.086
1586550743.808,17.578,28.320,23.438,32.715,43.945
1586550743.812,-55.176,34.668,23.438,7.812,17.090
1586550743.816,20.020,36.621,25.391,24.414,32.227
1586550743.820,119.141,36.133,26.855,63.477,40.527
1586550743.824,49.805,37.109,27.344,39.551,41.992
1586550743.828,-47.852,36.133,26.367,-3.906,45.410
1586550743.832,-6.348,32.715,23.438,12.695,-10.742
1586550743.836,105.469,31.738,21.484,56.641,29.297
1586550743.840,92.773,30.762,23.438,54.688,65.918
1586550743.844,-26.367,30.762,25.391,15.137,9.766
1586550743.847,-18.555,32.227,24.414,9.277,-14.648
1586550743.851,81.543,30.273,23.926,46.387,49.805
1586550743.855,109.375,28.809,21.973,62.500,117.676
1586550743.859,-4.395,30.273,20.996,11.719,85.449
1586550743.863,-42.480,28.809,17.578,-1.465,4.883
1586550743.867,44.434,28.809,18.555,34.180,-7.324
1586550743.871,123.047,30.273,23.926,63.965,43.945
1586550743.875,28.809,28.809,22.461,28.320,34.180
1586550743.879,-47.852,30.762,23.438,-11.230,-20.508
1586550743.883,11.719,32.715,23.926,6.836,8.301
1586550743.887,108.398,29.785,19.531,48.340,68.848
1586550743.890,58.594,29.297,19.043,36.133,32.227
1586550743.894,-46.875,27.832,18.066,-9.277,28.320
1586550743.898,-10.742,23.926,20.508,-2.930,28.809
1586550743.902,93.750,28.809,20.996,40.039,10.254
1586550743.906,80.078,30.273,17.090,48.828,101.562
1586550743.910,-41.016,30.273,15.625,-2.441,79.590
1586550743.914,-47.363,31.738,18.555,-12.695,-6.836
1586550743.918,54.688,31.738,19.043,34.668,44.922
1586550743.922,102.539,27.344,19.531,60.059,32.227
1586550743.926,-5.859,25.879,21.973,19.043,2.930
1586550743.929,-42.969,31.250,22.461,-0.488,32.227
1586550743.933,38.086,31.250,21.973,29.297,11.719
1586550743.937,110.840,28.809,22.949,68.848,39.062
1586550743.941,26.367,29.785,22.461,39.062,78.613
1586550743.945,-52.734,28.320,20.508,-7.324,5.859
1586550743.949,5.859,27.344,17.578,3.418,2.930
1586550743.953,113.281,30.762,19.043,46.387,88.379
1586550743.957,70.312,31.250,21.973,41.504,14.648
1586550743.961,-43.945,27.832,20.996,-3.906,-48.828
1586550743.965,-20.508,28.320,18.066,-0.977,-12.207
1586550743.969,85.938,30.762,16.113,42.480,38.574
1586550743.972,88.867,28.809,20.508,52.246,82.520
1586550743.976,-28.320,27.344,23.926,4.395,7.812
1586550743.980,-38.574,28.320,24.414,-9.277,9.766
1586550743.984,56.641,30.273,22.461,33.203,19.043
1586550743.988,110.352,29.785,21.484,62.500,30.762
1586550743.992,12.207,26.855,21.973,20.996,71.777
1586550743.996,-36.621,26.855,22.949,-5.859,6.836
1586550744.000,25.879,30.273,24.414,22.461,-19.531
1586550744.004,115.234,30.273,22.461,60.059,47.852
1586550744.008,45.410,26.855,21.973,33.691,18.066
1586550744.012,-52.734,27.832,23.926,-3.906,15.625
1586550744.015,-6.348,27.344,26.367,13.184,31.250
1586550744.019,99.609,24.902,25.391,53.711,32.227
1586550744.023,70.801,27.832,20.996,42.480,68.848
1586550744.027,-33.203,28.809,18.555,-0.977,20.020
1586550744.031,-17.090,26.367,20.996,1.953,9.277
1586550744.035,81.055,27.344,19.531,43.457,19.531
1586550744.039,102.539,25.391,19.531,60.547,26.855
1586550744.043,-15.137,28.320,22.461,15.625,33.203
1586550744.047,-31.250,28.320,21.484,-3.418,1.953
1586550744.051,65.918,23.926,19.531,34.180,13.184
1586550744.054,126.953,30.273,21.484,61.523,50.293
1586550744.058,28.320,33.203,24.902,26.367,20.508
1586550744.062,-44.434,31.738,24.902,0.000,-17.578
1586550744.066,17.090,31.250,22.949,21.484,-35.645
1586550744.070,120.117,33.203,20.996,58.594,75.195
1586550744.074,54.199,33.203,22.949,34.180,76.172
1586550744.078,-44.922,31.738,23.926,-7.812,6.836
1586550744.082,0.977,32.715,19.531,-2.930,-19.043
1586550744.086,105.957,33.203,20.996,36.621,-27.832
