timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550067,-0.488,33.691,33.691,-2.441,24.902
1586550067.004,140.137,31.738,31.25,50.293,-17.578
1586550067.008,64.453,32.715,29.297,34.18,3.418
1586550067.011,-84.961,31.25,33.691,-17.09,25.391
1586550067.015,-38.086,29.297,36.621,-5.371,-1.953
1586550067.019,128.418,32.227,31.738,58.105,67.383
1586550067.023,120.605,32.715,33.203,57.617,42.969
1586550067.027,-55.664,32.227,35.645,-5.371,-22.461
1586550067.031,-58.105,33.203,34.668,-12.695,13.184
1586550067.035,85.449,31.25,30.762,34.18,74.219
1586550067.039,145.996,31.25,28.809,65.918,59.57
1586550067.043,-16.113,31.25,33.203,13.184,21.973
1586550067.047,-80.078,30.273,34.18,-15.625,1.465
1586550067.051,38.574,31.25,30.762,28.32,0.977
1586550067.054,162.109,34.18,29.785,77.637,34.668
1586550067.058,47.363,34.668,33.691,48.34,37.109
1586550067.062,-70.312,35.645,36.621,-12.207,9.766
1586550067.066,0.488,36.133,35.645,-4.883,-4.883
1586550067.07,153.809,38.086,33.203,51.758,-2.441
1586550067.074,102.539,41.992,34.18,33.691,35.645
1586550067.078,-62.988,38.574,38.574,-19.531,57.617
1586550067.082,-34.668,33.203,39.551,-4.883,12.695
1586550067.086,123.047,32.715,37.109,46.387,45.41
1586550067.09,135.254,33.203,38.574,56.152,78.125
1586550067.094,-32.227,32.715,39.551,0,45.898
1586550067.097,-47.852,33.691,37.598,-12.695,4.883
1586550067.101,92.773,33.203,36.133,34.668,-5.371
1586550067.105,166.504,30.762,34.18,70.312,-7.324
1586550067.109,2.441,31.25,36.621,16.602,-11.719
1586550067.113,-78.125,35.645,35.156,-21.973,71.777
1586550067.117,22.461,35.645,30.762,12.695,48.828
1586550067.121,154.785,35.156,34.18,64.941,32.715
1586550067.125,53.711,37.109,38.574,25.879,53.711
1586550067.129,-79.59,35.156,32.715,-27.832,7.812
1586550067.133,-11.719,32.715,25.879,-8.301,-44.434
1586550067.136,133.789,30.762,26.367,46.875,-8.301
1586550067.14,93.262,29.785,28.809,41.992,41.992
1586550067.144,-62.5,30.273,25.879,-17.578,11.23
1586550067.148,-41.504,30.273,24.414,-11.23,-49.316
1586550067.152,111.816,29.297,27.344,52.246,-40.527
1586550067.156,138.672,27.832,33.203,75.684,0
1586550067.16,-38.086,29.297,30.762,5.371,25.391
1586550067.164,-80.078,31.738,28.809,-21.973,-21.484
1586550067.168,50.293,31.25,31.738,26.367,-32.227
1586550067.172,146.973,30.273,27.344,52.246,12.695
1586550067.176,11.719,30.273,27.344,3.906,10.254
1586550067.179,-81.055,29.785,31.25,-26.367,34.18
1586550067.183,11.23,32.227,32.227,9.277,43.945
1586550067.187,164.551,30.273,32.715,57.129,45.898
1586550067.191,80.566,29.785,34.18,27.832,53.711
1586550067.195,-67.383,33.691,32.227,-20.508,42.48
1586550067.199,-10.254,32.715,31.25,0.488,41.016
1586550067.203,134.766,31.25,30.273,64.941,40.527
1586550067.207,96.191,34.18,29.297,64.453,-13.184
