timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550595.004,30.273,27.832,29.297,6.836,-50.293
1586550595.008,110.84,30.273,31.25,50.781,-8.789
1586550595.012,68.359,32.715,31.25,48.34,41.504
1586550595.015,-36.133,29.297,29.785,8.789,16.602
1586550595.019,-16.602,27.832,30.273,2.93,12.207
1586550595.023,68.359,32.227,29.785,37.109,46.875
1586550595.027,83.008,31.738,28.32,53.223,51.758
1586550595.031,-20.508,30.273,27.344,7.812,39.551
1586550595.035,-33.203,30.762,27.344,-1.465,10.254
1586550595.039,57.617,30.762,29.785,46.387,24.902
1586550595.043,104.004,33.203,28.32,78.125,2.93
1586550595.047,9.277,29.785,28.809,33.691,15.137
1586550595.051,-31.738,24.902,33.691,-11.719,74.707
1586550595.054,33.203,25.879,30.762,2.441,42.969
1586550595.058,95.703,26.367,27.832,39.551,42.48
1586550595.062,30.762,23.438,28.809,28.809,75.195
1586550595.066,-42.48,25.879,30.273,0,51.27
1586550595.07,13.184,30.762,28.32,9.766,33.691
1586550595.074,97.168,33.203,26.855,43.457,66.406
1586550595.078,72.266,32.715,28.32,43.945,47.363
1586550595.082,-24.414,33.203,30.273,3.906,18.066
1586550595.086,-1.465,34.668,33.203,2.93,-2.93
1586550595.09,85.938,34.668,35.156,43.457,-26.367
1586550595.094,94.238,33.203,34.668,60.059,-6.836
1586550595.097,-4.395,28.809,33.691,19.531,47.852
1586550595.101,-23.926,31.25,34.18,5.371,26.855
1586550595.105,49.316,39.062,36.133,36.621,5.859
1586550595.109,101.562,35.156,32.715,60.547,77.148
1586550595.113,15.625,29.297,29.297,23.926,84.961
1586550595.117,-40.039,29.785,28.32,-16.602,41.504
1586550595.121,21.484,29.785,31.738,7.324,26.367
1586550595.125,102.051,28.809,33.691,50.781,59.57
1586550595.129,50.781,28.32,32.227,42.969,56.641
1586550595.133,-34.18,27.832,32.715,12.207,-10.254
1586550595.137,0.977,26.855,33.691,15.137,2.441
1586550595.14,82.031,27.832,34.668,46.387,14.648
1586550595.144,82.031,25.879,37.598,48.34,-6.836
1586550595.148,-20.996,24.414,37.109,5.371,3.906
1586550595.152,-15.625,29.785,35.156,-1.953,5.371
1586550595.156,76.66,28.32,33.691,36.133,26.855
1586550595.16,100.098,27.344,30.273,61.523,41.992
1586550595.164,-9.277,30.762,33.203,21.484,40.527
1586550595.168,-33.203,32.227,35.645,3.906,-2.441
1586550595.172,40.527,34.18,34.18,31.25,20.02
1586550595.176,100.586,32.715,33.203,61.523,55.664
1586550595.179,31.738,33.203,33.691,38.574,3.906
1586550595.183,-36.621,34.18,30.273,-1.465,2.441
1586550595.187,18.066,32.715,28.809,9.766,7.812
1586550595.191,99.121,31.25,30.273,54.688,70.312
1586550595.195,54.688,31.25,28.809,52.734,47.852
1586550595.199,-32.715,31.25,30.762,15.625,31.738
1586550595.203,-2.441,31.25,32.715,17.578,90.332
1586550595.207,85.938,32.715,32.227,50.293,16.113
