timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550865.004,88.867,27.344,27.832,50.781,43.457
1586550865.008,78.613,27.344,28.809,53.223,18.555
1586550865.012,-24.414,24.902,28.32,14.648,-33.203
1586550865.015,-17.09,28.809,28.32,7.324,-4.883
1586550865.019,68.359,27.832,28.32,43.945,40.039
1586550865.023,101.562,26.855,27.344,64.941,78.613
1586550865.027,-2.441,28.32,24.414,21.973,70.312
1586550865.031,-36.133,29.297,26.367,-1.953,45.41
1586550865.035,37.109,32.227,27.832,23.438,54.199
1586550865.039,98.145,28.32,25.879,58.594,72.266
1586550865.043,22.461,26.367,26.855,39.062,36.621
1586550865.047,-52.734,28.32,31.25,7.324,66.406
1586550865.051,5.371,26.367,30.273,20.02,68.359
1586550865.055,101.562,24.902,26.855,58.105,51.758
1586550865.058,62.5,26.367,27.344,44.434,89.355
1586550865.062,-34.668,31.25,24.902,-0.977,30.762
1586550865.066,-8.301,31.738,24.414,3.418,5.371
1586550865.07,79.102,31.25,26.855,38.086,11.23
1586550865.074,90.82,34.18,24.902,41.992,-12.207
1586550865.078,-10.254,33.203,24.902,4.883,-8.789
1586550865.082,-23.438,31.738,25.391,-2.441,25.879
1586550865.086,62.012,30.762,23.926,32.227,15.137
1586550865.09,106.445,33.203,22.949,60.547,27.832
1586550865.094,13.184,34.18,23.926,21.484,35.156
1586550865.098,-36.133,34.668,23.926,-4.883,64.453
1586550865.101,30.762,32.715,23.438,19.043,64.941
1586550865.105,111.816,32.227,26.367,54.199,31.738
1586550865.109,34.668,30.762,28.32,35.156,56.641
1586550865.113,-50.293,29.297,26.367,0.977,-37.109
1586550865.117,2.441,28.809,29.297,18.555,-54.199
1586550865.121,95.215,25.879,28.32,54.199,36.133
1586550865.125,68.848,27.344,26.855,47.852,88.867
1586550865.129,-34.18,27.832,25.391,9.766,50.781
1586550865.133,-15.625,28.32,22.949,11.23,-5.859
1586550865.137,66.406,26.855,27.832,36.133,2.441
