timestamps,TP9,AF7,AF8,TP10,Right AUX
1586550179.078,139.648,36.133,34.668,62.012,47.363
1586550179.082,18.555,35.645,32.227,20.508,3.418
1586550179.086,-50.781,36.621,31.25,-11.23,-76.172
1586550179.09,21.973,31.25,35.156,29.785,-49.316
1586550179.094,120.117,29.785,34.18,72.266,8.301
1586550179.097,41.504,32.227,32.715,39.062,34.18
1586550179.101,-64.453,31.738,31.738,-13.184,23.926
1586550179.105,-7.812,32.715,32.227,7.812,35.156
1586550179.109,122.559,35.645,34.18,62.988,77.148
1586550179.113,90.332,34.18,29.785,47.363,81.543
1586550179.117,-56.152,28.809,29.297,-8.301,40.039
1586550179.121,-45.898,30.273,33.691,-5.859,24.902
1586550179.125,82.031,30.762,32.715,39.551,62.5
1586550179.129,111.328,28.809,32.227,57.617,80.078
1586550179.133,-22.949,29.297,32.715,10.742,59.082
1586550179.137,-49.316,26.367,32.227,-12.207,32.227
1586550179.14,65.43,25.879,29.785,28.32,4.883
1586550179.144,145.996,26.367,28.809,66.406,51.27
1586550179.148,17.578,26.367,29.785,18.066,49.316
1586550179.152,-69.336,27.344,28.809,-23.926,0.977
1586550179.156,4.395,25.391,32.227,5.859,-21.484
1586550179.16,125.488,24.414,34.668,68.848,27.832
1586550179.164,57.617,27.344,32.227,48.828,69.824
1586550179.168,-71.777,28.32,33.203,-10.742,35.156
1586550179.172,-34.668,29.297,32.715,-2.93,47.363
1586550179.176,92.773,27.832,29.785,52.246,83.008
1586550179.18,84.961,24.414,31.25,61.035,34.668
1586550179.183,-60.059,23.438,32.227,0.977,26.855
1586550179.187,-60.547,24.414,30.762,-12.207,5.859
1586550179.191,73.242,24.902,27.832,33.203,8.789
1586550179.195,133.789,23.926,27.832,59.57,53.711
1586550179.199,3.906,24.902,30.273,11.23,14.16
1586550179.203,-59.57,25.879,30.273,-22.949,2.93
1586550179.207,34.668,27.344,28.809,18.066,-18.555
1586550179.211,139.648,27.832,25.879,64.941,4.395
1586550179.215,35.156,32.227,20.996,24.414,22.949
1586550179.219,-64.453,34.18,25.879,-8.301,-57.129
1586550179.222,1.465,28.809,28.809,15.625,14.16
1586550179.226,127.441,25.391,28.809,54.688,54.688
1586550179.23,71.289,27.832,31.25,39.551,27.344
1586550179.234,-57.129,30.273,30.762,-9.766,27.344
