timestamps,TP9,AF7,AF8,TP10,Right AUX
1586549941.004,-30.273,29.297,33.203,-14.648,35.156
1586549941.008,-43.945,28.809,31.738,-40.039,41.016
1586549941.011,95.215,30.273,33.203,21.973,43.457
1586549941.015,175.781,27.832,34.18,73.73,26.855
1586549941.019,14.16,29.297,37.109,12.695,16.602
1586549941.023,-79.59,28.809,34.668,-36.621,-8.301
1586549941.027,37.109,26.855,31.738,0,-0.488
1586549941.031,175.781,29.297,33.691,71.777,34.18
1586549941.035,55.176,32.227,36.621,41.016,10.742
1586549941.039,-89.355,33.203,37.109,-37.598,-38.086
1586549941.043,-2.93,30.273,35.156,-23.926,-47.363
1586549941.047,159.18,29.785,33.691,55.664,-87.891
1586549941.051,109.863,29.297,36.621,55.176,-27.832
1586549941.054,-70.801,27.344,38.574,-23.926,-6.836
1586549941.058,-37.598,28.809,35.156,-25.391,-20.996
1586549941.062,125,32.715,31.25,45.898,0
1586549941.066,160.156,33.691,32.715,80.566,14.16
1586549941.07,-17.09,30.762,38.574,7.812,5.859
1586549941.074,-65.918,30.273,39.062,-28.809,0
1586549941.078,64.941,30.762,38.574,24.902,-7.812
1586549941.082,172.852,32.227,36.621,74.219,8.789
1586549941.086,23.438,31.25,32.715,25.391,51.27
1586549941.09,-79.59,28.809,33.691,-39.062,41.504
1586549941.094,25.879,26.855,35.156,-13.184,27.344
1586549941.097,181.641,24.902,33.203,69.336,3.906
1586549941.101,79.59,25.879,34.18,41.504,-7.812
1586549941.105,-83.496,30.273,34.668,-27.832,25.391
1586549941.109,-14.648,27.832,32.715,-10.254,53.711
1586549941.113,154.297,27.832,29.297,60.059,67.871
1586549941.117,137.695,34.18,27.832,66.406,42.48
1586549941.121,-47.363,36.133,31.25,-14.648,59.57
1586549941.125,-40.527,34.668,33.203,-22.949,10.742
1586549941.129,106.445,33.691,33.203,49.805,-14.16
1586549941.133,164.062,32.715,30.762,76.66,44.922
1586549941.136,-9.766,33.203,31.25,-0.488,28.809
1586549941.14,-69.824,28.809,31.25,-40.039,42.969
1586549941.144,55.664,25.391,29.785,12.695,34.18
1586549941.148,170.41,28.809,32.227,81.543,37.598
1586549941.152,29.785,29.297,34.668,34.18,65.918
1586549941.156,-80.078,29.785,33.691,-39.062,58.105
1586549941.16,14.16,29.785,33.203,-4.883,15.625
1586549941.164,159.668,28.32,31.738,69.336,-40.039
1586549941.168,87.402,31.25,31.25,48.34,-15.137
1586549941.172,-68.359,32.227,30.762,-22.461,34.668
1586549941.176,-16.602,32.227,33.691,-25.391,-37.109
1586549941.179,130.371,32.227,33.691,47.363,-37.598
1586549941.183,133.789,30.762,34.18,69.336,68.359
1586549941.187,-48.34,28.809,41.016,-8.789,59.082
1586549941.191,-49.316,28.32,38.086,-24.414,10.742
1586549941.195,95.703,29.785,30.762,45.898,47.852
1586549941.199,166.992,30.273,36.621,91.797,72.754
1586549941.203,-8.301,29.785,44.434,21.484,40.039
1586549941.207,-80.566,27.344,40.527,-34.668,-7.812
1586549941.211,43.457,22.461,35.645,7.324,-17.09
1586549941.215,165.527,21.484,31.25,70.312,8.301
1586549941.219,43.457,24.902,31.25,28.32,0
1586549941.222,-85.938,24.902,33.691,-35.156,0
1586549941.226,0,25.391,33.203,-16.113,4.883
1586549941.23,159.668,27.344,33.203,56.641,43.945
1586549941.234,103.027,27.832,36.133,51.27,10.742
1586549941.238,-69.336,25.879,38.574,-31.738,22.949
1586549941.242,-29.785,25.391,38.574,-30.762,27.344
1586549941.246,126.465,30.273,36.133,45.898,12.695
1586549941.25,145.02,35.156,36.133,72.266,77.148
1586549941.254,-41.016,33.203,37.109,-10.742,18.066
1586549941.258,-64.453,29.785,35.156,-39.551,-7.324
1586549941.261,73.73,29.785,33.203,24.902,23.926
1586549941.265,166.992,29.297,33.203,75.684,62.5
1586549941.269,14.16,26.855,32.715,17.09,30.273
1586549941.273,-69.336,24.902,34.668,-34.668,-12.207
1586549941.277,42.48,22.949,33.691,4.395,2.93
1586549941.281,176.27,24.902,27.832,75.195,8.301
1586549941.285,72.266,27.832,30.273,39.062,5.371
1586549941.289,-73.73,30.273,35.156,-37.109,-19.531
1586549941.293,-5.371,34.18,33.691,-23.926,-7.324
1586549941.297,143.555,32.227,33.203,54.199,15.137
1586549941.301,104.004,31.738,32.715,59.57,14.648
1586549941.304,-78.613,30.762,30.273,-20.508,-0.977
1586549941.308,-60.059,28.809,29.785,-22.949,-19.043
1586549941.312,102.539,28.32,30.273,41.504,6.348
1586549941.316,152.344,29.297,32.227,73.242,9.766
1586549941.32,-25.391,31.25,31.738,3.418,6.836
1586549941.324,-66.406,32.227,29.785,-33.691,-1.953
1586549941.328,68.359,30.273,29.297,20.508,-17.09
1586549941.332,174.805,28.809,29.297,78.613,78.125
1586549941.336,25.391,32.227,31.25,32.227,66.406
1586549941.34,-84.473,31.25,33.691,-31.738,-13.672
1586549941.344,20.02,30.762,34.668,1.953,0
1586549941.347,171.875,33.203,31.25,75.684,5.859
1586549941.351,79.102,33.203,30.762,47.852,-24.902
1586549941.355,-72.266,34.18,31.738,-25.879,-80.078
1586549941.359,-11.719,33.691,30.273,-22.949,-12.207
1586549941.363,137.695,25.879,28.809,43.945,34.18
1586549941.367,129.883,20.508,27.832,62.012,42.48
1586549941.371,-51.758,24.902,31.738,-13.672,-1.953
1586549941.375,-52.734,29.785,31.738,-34.18,-34.18
1586549941.379,103.516,28.809,28.32,37.109,47.852
1586549941.383,170.898,27.832,29.297,79.59,79.102
1586549941.386,-0.977,27.344,28.32,12.695,32.227
1586549941.39,-68.848,24.902,29.785,-23.926,46.387
1586549941.394,48.34,22.949,31.25,17.09,27.344
1586549941.398,175.781,23.926,28.32,72.754,-38.574
1586549941.402,51.758,28.32,28.809,29.297,-3.418
1586549941.406,-77.637,29.297,30.273,-37.598,39.551
1586549941.41,2.93,26.367,31.738,-0.977,30.273
1586549941.414,152.832,24.902,33.203,77.148,-13.672
1586549941.418,84.473,22.949,33.691,62.012,4.395
1586549941.422,-80.078,25.391,33.691,-17.578,37.109
1586549941.426,-25.879,29.785,32.227,-29.297,20.02
1586549941.429,131.348,30.762,30.762,43.457,37.598
1586549941.433,135.742,32.715,31.738,66.406,13.672
1586549941.437,-43.945,30.273,29.297,-7.324,-36.621
1586549941.441,-60.547,26.367,28.809,-30.273,-25.879
1586549941.445,85.449,27.344,31.738,26.367,43.945
1586549941.449,159.18,26.367,28.809,74.707,61.035
1586549941.453,-11.719,26.367,26.367,10.742,33.691
1586549941.457,-82.52,26.855,28.32,-38.086,13.184
1586549941.461,39.551,26.367,27.344,7.324,21.484
1586549941.465,169.922,26.855,26.367,75.195,69.336
1586549941.469,46.875,28.32,30.273,43.457,37.109
1586549941.472,-84.473,29.297,35.645,-22.461,49.316
1586549941.476,-0.977,28.32,36.133,-5.371,15.625
1586549941.48,146.973,24.414,31.25,64.453,12.207
1586549941.484,96.191,23.438,28.809,54.688,56.152
1586549941.488,-81.543,24.414,31.25,-21.973,36.621
1586549941.492,-50.781,25.391,32.715,-28.32,27.832
1586549941.496,107.422,28.32,29.785,38.086,7.324
1586549941.5,140.625,30.762,32.715,69.824,-3.906
1586549941.504,-51.27,32.227,34.668,-1.953,-3.418
1586549941.508,-87.891,29.297,32.227,-30.273,-31.738
1586549941.511,61.035,28.32,30.762,21.973,30.273
1586549941.515,158.691,31.25,28.32,73.73,98.633
1586549941.519,7.324,30.273,31.25,22.949,18.555
1586549941.523,-80.078,27.344,35.156,-28.809,-4.395
1586549941.527,36.133,29.785,32.715,2.93,44.922
1586549941.531,174.316,31.25,30.762,65.43,-4.883
1586549941.535,66.406,31.25,32.227,35.156,-10.742
1586549941.539,-75.684,30.273,34.18,-28.809,56.641
1586549941.543,-12.207,30.273,36.133,-14.16,-6.348
1586549941.547,142.578,32.227,34.18,61.035,-21.973
1586549941.551,125.977,33.691,34.668,59.082,44.434
1586549941.554,-58.594,35.645,39.062,-28.32,-1.465
1586549941.558,-37.598,34.668,40.039,-26.855,-40.039
1586549941.562,115.723,35.645,33.203,43.945,-2.93
1586549941.566,150.391,30.762,30.762,72.754,38.086
1586549941.57,-29.785,27.344,32.715,3.906,39.062
1586549941.574,-70.801,30.273,30.762,-33.691,-44.434
1586549941.578,57.617,32.715,31.25,15.137,-46.875
1586549941.582,165.527,33.691,34.18,69.824,34.668
1586549941.586,25.879,35.156,35.156,20.508,4.395
1586549941.59,-88.379,34.668,30.273,-44.434,-33.691
1586549941.594,10.742,34.18,26.367,-18.066,15.625
1586549941.597,158.203,32.715,28.809,65.43,25.391
1586549941.601,70.312,32.227,30.762,43.945,-1.953
1586549941.605,-88.379,32.715,30.762,-39.062,28.809
1586549941.609,-28.809,31.25,29.297,-29.785,70.801
1586549941.613,131.348,29.785,26.367,40.527,62.5
1586549941.617,124.023,31.25,29.297,55.664,-6.836
1586549941.621,-60.059,31.738,29.297,-22.461,41.504
1586549941.625,-57.129,31.738,27.344,-41.992,64.941
1586549941.629,88.379,30.762,28.809,24.902,17.09
1586549941.633,152.832,30.273,31.738,69.336,23.926
1586549941.636,-15.625,32.227,33.691,9.277,-2.441
1586549941.64,-79.102,32.715,32.227,-34.18,-6.348
1586549941.644,49.316,30.762,32.227,10.742,53.711
1586549941.648,168.457,29.297,31.25,69.824,29.297
1586549941.652,31.25,30.273,30.762,25.879,39.062
1586549941.656,-86.914,30.273,33.691,-36.621,14.648
1586549941.66,0.977,28.32,32.227,-11.719,-31.738
1586549941.664,148.926,28.809,30.762,65.918,-17.578
1586549941.668,97.656,29.297,34.18,57.129,-30.762
1586549941.672,-74.219,30.273,33.691,-24.414,-57.617
1586549941.676,-42.48,31.25,34.668,-25.391,-24.414
1586549941.679,115.234,28.809,33.203,50.293,-7.812
1586549941.683,140.625,29.785,34.18,75.195,-4.883
1586549941.687,-45.41,31.25,35.645,2.441,26.855
1586549941.691,-64.941,29.297,30.273,-21.973,44.922
1586549941.695,83.496,29.785,30.762,32.715,31.738
1586549941.699,165.527,32.227,34.18,79.59,31.25
